endpoint_id,url,content,station,latitude,longitude,receiver_mode,region_id,expected_content_type
isee_mos_2026072705_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072705_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072706_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072706_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072707_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072707_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072708_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072708_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072709_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072709_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072710_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072710_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072711_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072711_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072712_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072712_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072713_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072713_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072714_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072714_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072715_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072715_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072716_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072716_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072717_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072717_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072718_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072718_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072719_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072719_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072720_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072720_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072721_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072721_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072722_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072722_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072723_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072723_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072520_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072520_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072521_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072521_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072522_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072522_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072523_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072523_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072601_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072601_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072602_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072602_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072603_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072603_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072604_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072604_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072605_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072605_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072606_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072606_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072607_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072607_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072608_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072608_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072609_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072609_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072610_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072610_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072611_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072611_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072612_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072612_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072613_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072613_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072614_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072614_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072615_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072615_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072616_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072616_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072617_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072617_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072618_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072618_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072619_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072619_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072620_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072620_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072621_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072621_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072622_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072622_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072623_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072623_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072701_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072701_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072702_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072702_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072703_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072703_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072800_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072800_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072801_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072801_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072802_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072802_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072803_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072803_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072804_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072804_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072805_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072805_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072806_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072806_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072807_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072807_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072808_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072808_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072809_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072809_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072810_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072810_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072811_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072811_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072812_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072812_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072813_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072813_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072814_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072814_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072815_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072815_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072816_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072816_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072817_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072817_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072818_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072818_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072819_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072819_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072820_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072820_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072821_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072821_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072822_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072822_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072823_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072823_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072900_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072900_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072901_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072901_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072902_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072902_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072903_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072903_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072904_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072904_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072905_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072905_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072906_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072906_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072907_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072907_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072908_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072908_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072909_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072909_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072910_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072910_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072911_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072911_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072912_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072912_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072913_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072913_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
