endpoint_id,url,content,station,latitude,longitude,receiver_mode,region_id,expected_content_type
isee_mos_2026072705_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072705_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072706_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072706_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072707_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072707_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072708_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072708_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072709_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072709_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072710_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072710_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072711_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072711_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072712_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072712_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072713_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072713_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072714_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072714_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072715_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072715_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072716_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072716_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072717_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072717_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072718_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072718_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072719_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072719_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072720_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072720_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072721_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072721_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072722_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072722_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
isee_mos_2026072723_v01.cdf,https://ergsc.isee.nagoya-u.ac.jp/data/ergsc/ground/vlf/mos/2026/07/isee_vlf_mos_2026072723_v01.cdf,cdf,Moshiri,44.37,142.27,crossed_loop,japan,application/cdf
